Job Description,Top Resume,Score
16852973,10554236.pdf,0.0
22323967,10554236.pdf,0.0
33176873,10554236.pdf,0.0
27018550,10554236.pdf,0.0
17812897,10554236.pdf,0.0
11592605,10554236.pdf,0.0
25824789,10554236.pdf,0.0
15375009,10554236.pdf,0.0
11847784,10554236.pdf,0.0
32896934,10554236.pdf,0.0
29149998,10554236.pdf,0.0
11480899,10554236.pdf,0.0
23155093,10554236.pdf,0.0
11763983,10554236.pdf,0.0
27490876,10554236.pdf,0.0
32977530,10554236.pdf,0.0
93002334,10554236.pdf,0.0
24184357,10554236.pdf,0.0
73077810,10554236.pdf,0.0
13879043,10554236.pdf,0.0
30163002,10554236.pdf,0.0
18827609,10554236.pdf,0.0
25676643,10554236.pdf,0.0
12786012,10554236.pdf,0.0
87968870,10554236.pdf,0.0
46258701,10554236.pdf,0.0
14225422,10554236.pdf,0.0
29297973,10554236.pdf,0.0
18334783,10554236.pdf,0.0
19717385,10554236.pdf,0.0
49937469,10554236.pdf,0.0
18316239,10554236.pdf,0.0
17855844,10554236.pdf,0.0
57667857,10554236.pdf,0.0
17422560,10554236.pdf,0.0
32947778,10554236.pdf,0.0
23914451,10554236.pdf,0.0
21265194,10554236.pdf,0.0
51769822,10554236.pdf,0.0
19616406,10554236.pdf,0.0
41523474,10554236.pdf,0.0
59962788,10554236.pdf,0.0
86184722,10554236.pdf,0.0
28419173,10554236.pdf,0.0
18155310,10554236.pdf,0.0
26780935,10554236.pdf,0.0
34554248,10554236.pdf,0.0
26202430,10554236.pdf,0.0
19867922,10554236.pdf,0.0
91930382,10554236.pdf,0.0
30646367,10554236.pdf,0.0
39650734,10554236.pdf,0.0
72231872,10554236.pdf,0.0
13520837,10554236.pdf,0.0
18422164,10554236.pdf,0.0
30862904,10554236.pdf,0.0
52979663,10554236.pdf,0.0
28828844,10554236.pdf,0.0
21830565,10554236.pdf,0.0
27523575,10554236.pdf,0.0
39081840,10554236.pdf,0.0
20925036,10554236.pdf,0.0
15576950,10554236.pdf,0.0
29564653,10554236.pdf,0.0
14886205,10554236.pdf,0.0
17412079,10554236.pdf,0.0
16861758,10554236.pdf,0.0
93112113,10554236.pdf,0.0
15041689,10554236.pdf,0.0
80162314,10554236.pdf,0.0
20993320,10554236.pdf,0.0
14640322,10554236.pdf,0.0
26289308,10554236.pdf,0.0
23408537,10554236.pdf,0.0
28808263,10554236.pdf,0.0
18084150,10554236.pdf,0.0
26671167,10554236.pdf,0.0
44476983,10554236.pdf,0.0
16877897,10554236.pdf,0.0
29091445,10554236.pdf,0.0
25724495,10554236.pdf,0.0
24508725,10554236.pdf,0.0
11698189,10554236.pdf,0.0
27165830,10554236.pdf,0.0
